#time   deltaF       REWdeltaF
175000  3.395252576  2.970694704
176000  3.273500787  2.958486563
177000  3.138866808  2.945718519
178000  3.015205401  2.936769382
179000  2.897327329  2.922141635
180000  2.779853088  2.906540603
181000  2.675733367  2.897376805
182000  2.558765507  2.881532012
183000  2.448134273  2.862955003
184000  2.323425649  2.844619796
185000  2.240507725  2.821833789
186000  2.351752810  2.832389071
187000  2.462375377  2.839317396
188000  2.570692017  2.849234395
189000  2.673787933  2.858977057
190000  2.788015707  2.874010374
191000  2.894749024  2.882858776
192000  2.990187596  2.892356605
193000  3.094373328  2.906106306
194000  3.197642415  2.918371265
195000  3.297651158  2.931986572
196000  3.351937055  2.937739881
197000  3.250204277  2.931212936
198000  3.155074483  2.923464424
199000  3.069767843  2.914150025
200000  2.954081070  2.905903768
201000  2.863206521  2.897870384
202000  2.767656099  2.881983620
203000  2.678817841  2.870636032
204000  2.592780577  2.855884050
205000  2.505629001  2.837740668
206000  2.397262155  2.821221703
207000  2.384709563  2.815101425
208000  2.481948532  2.826085495
209000  2.589123039  2.839624286
210000  2.679746711  2.852456603
211000  2.777524939  2.861195627
212000  2.726611612  2.857384902
213000  2.637514772  2.846501643
214000  2.548358187  2.839405303
215000  2.538309446  2.828422876
216000  2.643648081  2.842209780
217000  2.741475767  2.853276540
218000  2.731974306  2.851810971
219000  2.641750823  2.838109944
220000  2.568113988  2.826982921
221000  2.474850291  2.816344963
222000  2.414501986  2.808828581
223000  2.505039567  2.814687695
224000  2.595798965  2.825499566
225000  2.677691794  2.834291988
226000  2.767131258  2.841956000
227000  2.859220660  2.853909775
228000  2.949818058  2.863810533
229000  3.034740608  2.871840704
230000  3.121742530  2.885319971
231000  3.206737846  2.895519124
232000  3.297373085  2.903345417
233000  3.376231828  2.912845199
234000  3.463233980  2.922764850
235000  3.538075512  2.930693602
236000  3.617861382  2.937598405
237000  3.699211200  2.946102052
238000  3.670187270  2.944416728
239000  3.574768580  2.941341811
240000  3.481166246  2.936602859
241000  3.514755141  2.942882349
242000  3.596939292  2.953536242
243000  3.666665206  2.961917191
244000  3.560482398  2.957118845
245000  3.470833614  2.951474574
246000  3.371349227  2.944281750
247000  3.272197676  2.939867064
248000  3.196544415  2.936309841
249000  3.115328009  2.929263201
250000  3.036995865  2.921844321
251000  2.958959849  2.914651542
252000  2.896172500  2.909248014
253000  2.903636856  2.908003714
254000  2.984767258  2.915737808
255000  3.059723110  2.927088664
256000  3.141055948  2.937747927
257000  3.220439723  2.947326343
258000  3.299230916  2.957946333
259000  3.371917927  2.967413190
260000  3.447172209  2.974137830
261000  3.526509524  2.981447250
262000  3.532743200  2.982913464
263000  3.452147803  2.975596955
264000  3.430829640  2.975698383
265000  3.505367254  2.984430394
266000  3.575320759  2.989521567
