#from ~/storage/scratch/ves_deltaF/model/ves-new
#! FIELDS p.x file.free der_p.x	#! FIELDS p.x file.free der_p.x
#! SET min_p.x -3	#! SET min_p.x -3
#! SET max_p.x 3	#! SET max_p.x 3
#! SET nbins_p.x  301	#! SET nbins_p.x  301
#! SET periodic_p.x false	#! SET periodic_p.x false
1.480000000 22.3396 1.23023	1.480000000 1.17548 -6.54849
1.500000000 22.3637 1.09832	1.500000000 1.04715 -6.37035
1.520000000 22.3847 0.9819	1.520000000 0.922315 -6.15568
1.540000000 22.4039 0.871275	1.540000000 0.802239 -5.90844
1.560000000 22.4204 0.776533	1.560000000 0.687148 -5.62195
1.580000000 22.4351 0.689807	1.580000000 0.577909 -5.29568
1.600000000 22.4481 0.610749	1.600000000 0.476095 -4.93629
1.620000000 22.46 0.533931	1.620000000 0.381774 -4.53521
1.640000000 22.4701 0.469914	1.640000000 0.295469 -4.08847
1.660000000 22.4789 0.412209	1.660000000 0.21851 -3.60047
1.680000000 22.4866 0.360401	1.680000000 0.151727 -3.07089
1.700000000 22.4938 0.308973	1.700000000 0.0959511 -2.4998
1.720000000 22.4996 0.26859	1.720000000 0.0520082 -1.88771
1.740000000 22.5046 0.232715	1.740000000 0.0207097 -1.23557
1.760000000 22.51 0.189831	1.760000000 0.00284324 -0.544785
1.780000000 22.514 0.15912	1.780000000 0 0.174198
1.800000000 22.517 0.136971	1.800000000 0.0113193 0.935063
1.820000000 22.5202 0.110441	1.820000000 0.0381976 1.72758
1.840000000 22.5222 0.0946261	1.840000000 0.0809447 2.55152
1.860000000 22.524 0.0807968	1.860000000 0.140421 3.39988
1.880000000 22.5255 0.0687519	1.880000000 0.217076 4.26867
1.900000000 22.5267 0.0583024	1.900000000 0.311275 5.15349
1.920000000 22.5287 0.0402495	1.920000000 0.423779 6.04463
1.940000000 22.5299 0.0291611	1.940000000 0.553698 6.9479
1.960000000 22.5308 0.0207846	1.960000000 0.701701 7.85206
1.980000000 22.5312 0.0175634	1.980000000 0.868109 8.74799
2.000000000 22.5315 0.0147887	2.000000000 1.05295 9.62827
2.020000000 22.5318 0.012408	2.020000000 1.25431 10.5042
2.040000000 22.532 0.0103738	2.040000000 1.47298 11.3584
2.060000000 22.5322 0.00864235	2.060000000 1.70863 12.1835
2.080000000 22.5331 0	2.080000000 1.96065 12.9741
2.100000000 22.5331 0	2.100000000 2.22849 13.7235
2.120000000 22.5331 0	2.120000000 2.51068 14.4333
2.140000000 22.5331 0	2.140000000 2.80665 15.0953
2.160000000 22.5331 0	2.160000000 3.11574 15.7018
2.180000000 22.5331 0	2.180000000 3.43548 16.2627
2.200000000 22.5331 0	2.200000000 3.76722 16.7493
2.220000000 22.5331 0	2.220000000 4.10779 17.1782
2.240000000 22.5331 0	2.240000000 4.45523 17.5542
2.260000000 22.5331 0	2.260000000 4.80951 17.8622
2.280000000 22.5331 0	2.280000000 5.16985 18.0951
2.300000000 22.5331 0	2.300000000 5.53358 18.2656
2.320000000 22.5331 0	2.320000000 5.90014 18.3651
2.340000000 22.5331 0	2.340000000 6.26787 18.3972
2.360000000 22.5331 0	2.360000000 6.63557 18.3615
2.380000000 22.5331 0	2.380000000 7.00246 18.254
2.400000000 22.5331 0	2.400000000 7.36632 18.0863
2.420000000 22.5331 0	2.420000000 7.72636 17.8567
2.440000000 22.5331 0	2.440000000 8.08132 17.569
2.460000000 22.5331 0	2.460000000 8.42992 17.2288
2.480000000 22.5331 0	2.480000000 8.77142 16.8367
2.500000000 22.5331 0	2.500000000 9.10393 16.4067
2.520000000 22.5331 0	2.520000000 9.42865 15.9222
2.540000000 22.5331 0	2.540000000 9.74208 15.4154
2.560000000 22.5331 0	2.560000000 10.0454 14.8729
2.580000000 22.5331 0	2.580000000 10.3375 14.3041
2.600000000 22.5331 0	2.600000000 10.6191 13.7011
2.620000000 22.5331 0	2.620000000 10.8873 13.0956
2.640000000 22.5331 0	2.640000000 11.1433 12.4768
2.660000000 22.5331 0	2.660000000 11.3869 11.8494
2.680000000 22.5331 0	2.680000000 11.6184 11.2126
2.700000000 22.5331 0	2.700000000 11.837 10.5789
2.720000000 22.5331 0	2.720000000 12.0428 9.95142
2.740000000 22.5331 0	2.740000000 12.2361 9.33338
2.760000000 22.5331 0	2.760000000 12.4171 8.72607
2.780000000 22.5331 0	2.780000000 12.5872 8.12265
2.800000000 22.5331 0	2.800000000 12.744 7.55109
2.820000000 22.5331 0	2.820000000 12.8896 6.99862
2.840000000 22.5331 0	2.840000000 13.0244 6.46516
2.860000000 22.5331 0	2.860000000 13.1491 5.95001
2.880000000 22.5331 0	2.880000000 13.2636 5.4611
2.900000000 22.5331 0	2.900000000 13.3682 5.00056
2.920000000 22.5331 0	2.920000000 13.4641 4.56175
2.940000000 22.5331 0	2.940000000 13.5517 4.14611
2.960000000 22.5331 0	2.960000000 13.6324 3.7448
2.980000000 22.5331 0	2.980000000 13.705 3.37587
3.000000000 22.5331 0	3.000000000 13.7697 3.04122
