#time   deltaF       REWdeltaF
454000  3.610816590  3.260746850
455000  3.609566590  3.256027741
456000  3.608226590  3.250888793
457000  3.606786590  3.246624959
458000  3.605266591  3.240221657
459000  3.603646591  3.233439398
460000  3.601936591  3.230053398
461000  3.600136591  3.223313433
462000  3.598246591  3.219553110
463000  3.596266592  3.211203907
464000  3.594206592  3.205383842
465000  3.592046592  3.200411595
466000  3.589816593  3.196287155
467000  3.587486593  3.191746965
468000  3.585166593  3.195334007
469000  3.582946593  3.199339405
470000  3.580836594  3.203382013
471000  3.578836594  3.211017866
472000  3.576886594  3.209291590
473000  3.574856594  3.203924980
474000  3.572746595  3.198984698
475000  3.570636595  3.202175263
476000  3.568626595  3.208875984
477000  3.566736595  3.212393413
478000  3.564936596  3.217854774
479000  3.563246596  3.223301662
480000  3.561656596  3.226779968
481000  3.560176596  3.231877757
482000  3.558786596  3.236070749
483000  3.557496597  3.240260003
484000  3.556256597  3.239659052
485000  3.555066597  3.244609285
486000  3.553966597  3.247508592
487000  3.552826597  3.240039036
488000  3.551606597  3.237553678
489000  3.550376598  3.240574171
490000  3.549246598  3.245875703
491000  3.548216598  3.247766749
492000  3.547276598  3.251983798
493000  3.546436598  3.256659623
494000  3.545676598  3.259649119
495000  3.544906598  3.256754374
496000  3.544056598  3.250954293
497000  3.543116598  3.247254065
498000  3.542096599  3.242342938
499000  3.540996599  3.238252587
500000  3.539816599  3.236934979
501000  3.538646599  3.233503354
502000  3.537396599  3.229445130
503000  3.536066599  3.223382929
504000  3.534696600  3.225421596
505000  3.533306600  3.222984515
506000  3.531846600  3.217775322
507000  3.530306600  3.210613196
508000  3.528686600  3.207381422
509000  3.527106601  3.212461312
510000  3.525616601  3.216073605
511000  3.524226601  3.221105176
512000  3.522916601  3.221816040
513000  3.521706601  3.225796156
514000  3.520576601  3.230141415
515000  3.519496602  3.229861832
516000  3.518366602  3.226259845
517000  3.517156602  3.221896413
518000  3.515876602  3.219112243
519000  3.514586602  3.223048844
520000  3.513376602  3.227237932
521000  3.512256602  3.230922918
522000  3.511226603  3.237575748
523000  3.510286603  3.243458153
524000  3.509436603  3.247114459
525000  3.508666603  3.251858061
526000  3.507986603  3.255486986
527000  3.507386603  3.258742805
528000  3.506876603  3.262333567
529000  3.506446603  3.269132736
530000  3.506106603  3.276254102
531000  3.505836603  3.280139101
532000  3.505656603  3.283312436
533000  3.505556603  3.288226534
534000  3.505546603  3.292061306
535000  3.505606603  3.294494683
536000  3.505746603  3.298300305
537000  3.505966603  3.304176677
538000  3.506256603  3.306923797
539000  3.506636603  3.309668081
540000  3.507086603  3.312064205
541000  3.507606603  3.314802043
542000  3.508206603  3.318531119
543000  3.508886603  3.322601012
544000  3.509636603  3.328340811
545000  3.510456603  3.332708072
546000  3.511356603  3.338050290
547000  3.512326602  3.343697418
548000  3.513366602  3.347005107
549000  3.514486602  3.352614300
550000  3.515676602  3.356873827
551000  3.516926602  3.359815026
552000  3.518256602  3.363729938
553000  3.519656602  3.365033333
554000  3.521066601  3.361028461
555000  3.522396601  3.356726520
556000  3.523646601  3.351284133
557000  3.524826601  3.348568850
558000  3.525996601  3.350781013
559000  3.527176601  3.347706589
560000  3.528266600  3.341595193
561000  3.529296600  3.338923325
562000  3.530236600  3.334384026
563000  3.531186600  3.337169151
564000  3.532126600  3.334156851
565000  3.532976600  3.330035635
566000  3.533766600  3.328343209
567000  3.534566600  3.327333548
568000  3.535296599  3.322886949
569000  3.535956599  3.320245106
570000  3.536636599  3.322798880
571000  3.537386599  3.326311677
572000  3.538186599  3.325743954
573000  3.538926599  3.322091867
574000  3.539626599  3.324279653
575000  3.540376599  3.326183784
576000  3.541206599  3.331883071
577000  3.542096599  3.335347381
578000  3.543056598  3.338799435
579000  3.544086598  3.343794748
580000  3.545186598  3.349386456
581000  3.546276598  3.347208696
582000  3.547296598  3.344687229
583000  3.548246598  3.340716832
584000  3.549146598  3.344388574
585000  3.550096598  3.347465492
586000  3.551116597  3.351457605
587000  3.552176597  3.351303869
588000  3.553186597  3.347742880
589000  3.554116597  3.342073318
590000  3.554966597  3.338539344
591000  3.555756597  3.335032065
592000  3.556476597  3.329113413
593000  3.557136597  3.328480380
594000  3.557786597  3.322976955
595000  3.558366597  3.318499350
596000  3.558876596  3.314388391
597000  3.559316596  3.310320378
598000  3.559736596  3.311676105
599000  3.560206596  3.316241150
600000  3.560746596  3.320174927
601000  3.561356596  3.324398729
602000  3.562026596  3.327097344
603000  3.562756596  3.330695205
604000  3.563556596  3.335172622
605000  3.564416596  3.338740801
606000  3.565336596  3.341698094
607000  3.566316596  3.344646607
608000  3.567356595  3.348462439
609000  3.568466595  3.352270481
610000  3.569636595  3.354902050
611000  3.570856595  3.357227144
612000  3.572076595  3.353868156
613000  3.573236595  3.353990892
614000  3.574366594  3.350346092
615000  3.575446594  3.351722402
616000  3.576566594  3.355198096
617000  3.577746594  3.358940006
618000  3.578976594  3.361241840
619000  3.580276594  3.362389745
620000  3.581636594  3.364264040
621000  3.582976593  3.359005086
622000  3.584246593  3.357377585
623000  3.585486593  3.359287281
624000  3.586786593  3.363543211
625000  3.588126593  3.363854015
626000  3.589426593  3.360613373
627000  3.590656592  3.356432403
628000  3.591836592  3.354725305
629000  3.593036592  3.357551552
630000  3.594296592  3.360089648
631000  3.595616592  3.361214560
632000  3.596996592  3.363168364
633000  3.598376591  3.358410441
634000  3.599696591  3.357526380
635000  3.601056591  3.361444509
636000  3.602476591  3.364785526
637000  3.603956591  3.369219507
638000  3.605476591  3.372254053
639000  3.607066590  3.375294203
640000  3.608696590  3.377215572
641000  3.610366590  3.375820125
642000  3.611956590  3.369629911
643000  3.613496590  3.367164034
644000  3.614966589  3.363176797
645000  3.616366589  3.361645967
646000  3.617706589  3.358609904
647000  3.618986589  3.355580671
648000  3.620196589  3.352260687
649000  3.621346589  3.348049593
650000  3.622476588  3.351605431
651000  3.623666588  3.354601411
652000  3.624916588  3.357854178
653000  3.626216588  3.360294835
654000  3.627566588  3.364900247
655000  3.628976588  3.366787111
656000  3.630436587  3.369732721
657000  3.631936587  3.372931844
658000  3.633496587  3.375599856
659000  3.635116587  3.379061545
660000  3.636776587  3.382495528
661000  3.638486586  3.385139463
662000  3.640246586  3.386661721
663000  3.642026586  3.387387282
664000  3.643846586  3.391065300
665000  3.645716585  3.394734668
666000  3.647626585  3.397084679
667000  3.649596585  3.400211147
668000  3.651616585  3.402803160
669000  3.653646584  3.402340794
670000  3.655626584  3.398294294
671000  3.657536584  3.394259492
672000  3.659376584  3.389399179
673000  3.661166583  3.387124416
674000  3.662896583  3.383440607
675000  3.664576583  3.385179618
676000  3.666246583  3.381519353
677000  3.667846583  3.377052038
678000  3.669396582  3.372618039
679000  3.670906582  3.373083979
680000  3.672396582  3.368676800
681000  3.673826582  3.365115613
682000  3.675196582  3.362926292
683000  3.676506582  3.356958823
684000  3.677756581  3.354001131
685000  3.678966581  3.354707493
686000  3.680196581  3.356508391
687000  3.681486581  3.359587330
688000  3.682786581  3.358171245
689000  3.684036581  3.356523530
690000  3.685306580  3.360325645
691000  3.686596580  3.358155178
692000  3.687896580  3.361458179
693000  3.689256580  3.363736915
694000  3.690656580  3.365508030
695000  3.692076580  3.363374848
696000  3.693536579  3.366638623
697000  3.695036579  3.368395253
698000  3.696596579  3.370897882
699000  3.698186579  3.374138972
700000  3.699836579  3.376880541
701000  3.701526578  3.378371337
